Compare C:\Users\noldea\Documents\Decompiler\20w13b\client with C:\Users\noldea\Documents\Decompiler\20w14infinite\client
4/10/2020 1:50:40 AM
Filename,Folder,Comparison result,Left Date,Right Date,Extension
assets,,Folders are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,
minecraft,assets,Folders are different,* 4/10/2020 12:58:29 AM,  4/10/2020 12:39:37 AM,
blockstates,assets\minecraft,Folders are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,
acacia_button.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_door.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_fence.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_fence_gate.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_leaves.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_log.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_planks.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_pressure_plate.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_sapling.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_sign.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_slab.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_stairs.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_trapdoor.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_wall_sign.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
acacia_wood.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
activator_rail.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
air.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
allium.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
ancient_debris.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
andesite.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
andesite_slab.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
andesite_stairs.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
andesite_wall.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
ant.json,assets\minecraft\blockstates,Right only: C:\Users\noldea\Documents\Decompiler\20w14infinite\client\assets\minecraft\blockstates,  ,* 4/10/2020 12:39:38 AM,json
anvil.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
attached_melon_stem.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
attached_pumpkin_stem.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
azure_bluet.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
bamboo.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
bamboo_sapling.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
barrel.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
barrier.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
basalt.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
beacon.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
bedrock.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
bee_nest.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
beehive.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
beetroots.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
bell.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_button.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_door.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_fence.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_fence_gate.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_leaves.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_log.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_planks.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_pressure_plate.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_sapling.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_sign.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_slab.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_stairs.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_trapdoor.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_wall_sign.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
birch_wood.json,assets\minecraft\blockstates,Text files are different,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
black_banner.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
black_bed.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
black_carpet.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
black_concrete.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
black_concrete_powder.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
black_glazed_terracotta.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
black_shulker_box.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
black_stained_glass.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
black_stained_glass_pane.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
black_terracotta.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
black_wall_banner.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
black_wool.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
blast_furnace.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
blue_banner.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
blue_bed.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
blue_carpet.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
blue_concrete.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
blue_concrete_powder.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
blue_glazed_terracotta.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
blue_ice.json,assets\minecraft\blockstates,Text files are identical,* 4/10/2020 12:58:30 AM,  4/10/2020 12:39:38 AM,json
